ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,rikitea,PF,64,1553565945,100,-23.12,-134.97,75.99,9.53
1,atar,MR,0,1553565780,59,20.52,-13.05,55.38,5.61
2,nikolskoye,RU,75,1553565635,92,59.7,30.79,29.62,11.18
3,samarai,PG,44,1553565945,98,-10.62,150.67,83.46,15.46
4,mataura,NZ,88,1553565609,93,-46.19,168.86,60.01,7
5,fountain hills,US,40,1553565944,16,33.61,-111.72,78.39,5.82
6,georgetown,GY,0,1553562000,88,6.8,-58.16,75.2,4.7
7,daman,IN,0,1553565946,84,20.42,72.83,81.39,15.79
8,hilo,US,40,1553565942,57,19.71,-155.08,72.86,9.17
9,saint-georges,CA,44,1553565665,58,46.12,-70.67,17.98,4
10,alta floresta,BR,64,1553565947,97,-9.87,-56.08,74.01,2.15
11,hermanus,ZA,32,1553565640,97,-34.42,19.24,61.59,6.4
12,qaanaaq,GL,0,1553565718,70,77.48,-69.36,-11.23,8.52
14,larap,PH,8,1553565947,90,14.3,122.65,81.57,18.25
15,cape town,ZA,0,1553565792,72,-33.93,18.42,62.38,23.04
16,saldanha,PT,0,1553565693,44,41.42,-6.55,42.69,16.24
17,severo-kurilsk,RU,56,1553565650,100,50.68,156.12,28.83,20.04
18,albany,US,20,1553565666,26,42.65,-73.75,28.87,11.41
19,namibe,AO,12,1553565948,100,-15.19,12.15,75.36,4.83
20,saint-philippe,CA,1,1553565907,38,45.36,-73.48,26.76,8.97
22,airai,TL,24,1553565948,83,-8.93,125.41,79.14,1.7
23,banepa,NP,75,1553565000,87,27.63,85.52,55.4,3.36
24,aden,YE,0,1553565948,96,12.79,45.03,79.68,22.62
25,tonota,BW,0,1553565948,63,-21.44,27.46,66,5.17
26,kudahuvadhoo,MV,0,1553565949,100,2.67,72.89,84.36,13.22
27,naze,NG,76,1553565949,94,5.43,7.07,74.73,4.61
28,rambha,IN,0,1553565949,70,19.52,85.09,83.73,5.28
29,quatre cocos,MU,40,1553565547,94,-20.21,57.76,76.51,3.36
30,ushuaia,AR,75,1553562000,65,-54.81,-68.31,46.4,27.51
32,tiksi,RU,0,1553565949,76,71.64,128.87,-3.67,4.38
33,guerrero negro,MX,0,1553565949,80,27.97,-114.04,59.88,7.74
34,narsaq,GL,68,1553561400,62,60.91,-46.05,23,8.05
35,busselton,AU,44,1553565919,31,-33.64,115.35,72.27,14.23
36,barrow,AR,92,1553565950,75,-38.31,-60.23,53.58,4.27
37,birjand,IR,90,1553562000,47,32.86,59.22,59,13.87
39,gizo,IL,40,1553565918,81,31.8,34.94,46.99,6.93
40,okha,RU,56,1553565951,97,53.59,142.95,21.54,14.79
42,mozelos,PT,0,1553565746,26,41,-8.56,57.85,13.87
43,hamilton,CA,5,1553565721,39,43.26,-79.87,29.17,11.41
44,jamestown,AU,0,1553565752,63,-33.21,138.6,66.18,7.96
45,klaksvik,FO,92,1553563200,93,62.23,-6.59,46.4,10.29
46,nanortalik,GL,80,1553565952,100,60.14,-45.24,26.76,21.27
47,khatanga,RU,80,1553565952,90,71.98,102.47,23.61,14.79
48,chuy,UY,100,1553565952,84,-33.69,-53.46,65.28,10.2
49,port alfred,ZA,8,1553565672,95,-33.59,26.89,65.46,10.2
51,bredasdorp,ZA,32,1553564767,82,-34.53,20.04,61.32,3.36
53,hobart,AU,75,1553565796,41,-42.88,147.33,57.36,16.11
54,puerto ayora,EC,0,1553565614,89,-0.74,-90.35,79,4
55,atuona,PF,8,1553565953,100,-9.8,-139.03,82.65,14.45
56,punta arenas,CL,40,1553565148,61,-53.16,-70.91,46.2,17.22
57,lata,IN,0,1553565954,100,30.78,78.62,44.31,1.14
58,kodiak,US,1,1553565723,78,39.95,-94.76,45.91,9.17
59,soure,PT,0,1553565893,53,40.06,-8.63,55.76,6.93
60,te anau,NZ,80,1553565954,76,-45.41,167.72,60.78,13
61,norman wells,CA,75,1553562000,56,65.28,-126.83,42.8,14.99
62,general pico,AR,0,1553565954,65,-35.66,-63.75,52.32,6.17
63,castro,CL,0,1553562000,87,-42.48,-73.76,48.2,8.05
65,bluff,AU,68,1553565955,50,-23.58,149.07,87.15,4.61
66,avarua,CK,76,1553563800,83,-21.21,-159.78,82.4,6.93
67,itarema,BR,64,1553565955,98,-2.92,-39.92,75.99,3.6
69,esperance,TT,20,1553565907,83,10.24,-61.45,76.53,11.41
70,carnarvon,ZA,0,1553565756,89,-30.97,22.13,50.25,12.33
71,sola,NO,75,1553565643,94,58.89,5.65,39.29,12.75
72,longyearbyen,NO,20,1553561400,77,78.22,15.63,3.2,3.36
73,fengrun,CN,0,1553565956,35,39.83,118.12,60.06,17.36
74,sabalgarh,IN,0,1553565956,52,26.25,77.41,70.23,4.72
75,shingu,JP,75,1553562000,81,33.72,135.99,50,9.17
76,xai-xai,MZ,64,1553565956,97,-25.04,33.64,78.6,12.1
77,mirnyy,RU,48,1553565957,90,56.57,36.46,29.1,9.64
78,westport,IE,44,1553565784,75,53.8,-9.52,43.72,8.86
80,bambous virieux,MU,40,1553565847,94,-20.34,57.76,76.5,3.36
81,prince rupert,CA,1,1553562000,35,54.32,-130.32,55.4,12.75
82,steinbach,CA,40,1553565900,46,49.53,-96.69,26.13,5.82
84,bonavista,CA,0,1553565623,88,48.65,-53.11,30.99,17
85,cherkasskoye,RU,12,1553565959,93,52.43,47.21,27.12,5.28
86,immokalee,US,40,1553565872,78,26.42,-81.42,70.52,5.84
87,hailar,CN,32,1553565959,33,49.2,119.7,24.96,6.29
89,tuktoyaktuk,CA,40,1553562000,92,69.44,-133.03,15.8,6.93
90,lompoc,US,1,1553565898,51,34.64,-120.46,58.89,9.17
91,langsa,ID,44,1553565873,89,4.47,97.97,78.96,1.36
93,kentau,KZ,76,1553565959,56,43.52,68.5,43.95,4.72
94,panaba,MX,48,1553565960,74,21.28,-88.27,77.34,6.4
95,richards bay,ZA,100,1553565960,97,-28.77,32.06,70.14,13.33
97,kapaa,US,90,1553565798,78,22.08,-159.32,73.94,12.75
98,miraflores,CO,88,1553565961,100,5.2,-73.14,53.31,0.69
99,muzhi,RU,92,1553565961,94,65.4,64.7,33.24,19.71
100,dicabisagan,PH,44,1553565961,92,17.08,122.42,78.6,6.73
101,katsuura,JP,40,1553565878,50,33.93,134.5,56.17,12.75
102,matamoros,US,1,1553565918,94,25.87,-97.51,73.51,4.7
103,codrington,AU,75,1553565795,66,-28.95,153.24,82.53,5.82
107,bilibino,RU,88,1553565962,67,68.06,166.44,8.49,8.41
108,plettenberg bay,ZA,44,1553565962,100,-34.05,23.37,63.03,4.83
109,les cayes,HT,24,1553565962,100,18.19,-73.75,77.52,6.96
110,sovetskiy,RU,80,1553565963,90,56.76,48.47,29.73,14.79
111,san policarpo,PH,92,1553565963,100,12.18,125.51,76.53,10.65
112,wonthaggi,AU,92,1553565956,63,-38.6,145.59,64.26,14
113,salalah,OM,75,1553561400,74,17.01,54.1,78.8,9.17
114,pisco,PE,40,1553562000,77,-13.71,-76.2,69.8,19.46
115,san luis,AR,92,1553565964,60,-33.3,-66.34,60.51,11.43
116,ribeira grande,PT,88,1553565964,97,38.52,-28.7,61.05,8.97
117,thoen,TH,0,1553565965,64,17.61,99.22,85.26,3.15
119,rovaniemi,FI,0,1553563200,57,66.5,25.72,21.2,5.82
120,kaitangata,NZ,80,1553565965,97,-46.28,169.85,64.56,10.98
121,daru,SL,24,1553565965,90,7.99,-10.85,74.55,5.17
122,lebu,ET,0,1553562000,47,8.96,38.73,59,5.82
123,cherskiy,RU,48,1553565961,75,68.75,161.3,7.5,11.99
124,dakar,SN,0,1553563800,77,14.69,-17.45,66.2,8.05
125,butaritari,KI,80,1553565964,100,3.07,172.79,82.92,14.67
126,thompson,CA,75,1553562000,58,55.74,-97.86,32,6.93
127,marrakesh,MA,44,1553563800,55,31.63,-7.99,62.6,4.72
128,salekhard,RU,92,1553565967,89,66.54,66.62,29.55,15.46
129,cockburn town,TC,88,1553565820,100,21.46,-71.14,75.72,15.35
130,nome,US,1,1553565927,93,30.04,-94.42,66.9,7.74
132,saint-francois,FR,0,1553565748,73,46.42,3.91,34.79,11.41
133,arraial do cabo,BR,0,1553565809,99,-22.97,-42.02,76.26,4.16
134,vung tau,VN,56,1553565967,90,10.35,107.08,83.55,22.5
135,coahuayana,MX,0,1553565798,59,18.62,-100.35,67.35,2.15
136,lagoa,PT,0,1553565431,72,37.14,-8.45,58.23,8.05
137,berlevag,NO,20,1553565968,100,70.86,29.09,26.04,11.88
138,vaini,IN,8,1553562000,69,15.34,74.49,73.4,3.49
139,golden,CA,80,1553565624,89,51.3,-116.96,23,5.01
140,say,NE,48,1553562000,13,13.1,2.36,86,3.36
142,svetlogorsk,RU,75,1553563800,79,53.14,59.15,28.4,15.66
143,kununurra,AU,8,1553563800,49,-15.77,128.74,91.4,11.41
144,faya,SA,20,1553562000,87,18.39,42.45,60.8,11.41
145,new norfolk,AU,75,1553565916,41,-42.78,147.06,57.36,16.11
146,omboue,GA,68,1553565969,100,-1.57,9.26,82.11,3.15
147,kahului,US,40,1553565881,51,20.89,-156.47,75.49,18.34
148,dovbysh,UA,88,1553565845,90,50.37,27.99,32.79,10.54
149,kalmunai,LK,0,1553565970,70,7.42,81.82,82.92,3.94
150,kavaratti,IN,0,1553565970,100,10.57,72.64,83.28,1.25
151,derzhavinsk,KZ,92,1553565970,94,51.1,66.31,39.72,15.57
152,mantua,IT,75,1553565964,75,45.16,10.79,43.5,29.97
153,kilindoni,TZ,8,1553565970,100,-7.91,39.67,82.83,5.95
154,rawson,AR,0,1553565970,82,-43.3,-65.11,48.9,8.63
155,lexington,US,90,1553565916,81,38.05,-84.5,41.99,13.87
156,davenport,US,90,1553565895,60,41.52,-90.58,38.05,8.52
157,east london,ZA,92,1553565971,100,-33.02,27.91,68.79,18.14
160,tayu,JP,40,1553565848,54,35.06,136.67,57,9.17
161,cedarburg,US,20,1553565963,72,43.3,-87.99,29.46,3.36
162,galesong,ID,20,1553563800,74,-5.32,119.37,86,1.12
163,roald,NO,88,1553565903,64,62.58,6.12,31.87,6.93
164,swellendam,ZA,32,1553562000,82,-34.02,20.44,64.4,3.36
165,kavieng,PG,48,1553565726,100,-2.57,150.8,80.22,7.29
166,hithadhoo,MV,80,1553565972,100,-0.6,73.08,84.45,7.85
167,kutum,SD,0,1553565972,24,14.2,24.66,61.32,11.21
168,vardo,US,90,1553565953,100,39.62,-77.74,39.15,8.05
169,haines junction,CA,48,1553565973,64,60.75,-137.51,34.23,2.04
170,cluj-napoca,RO,40,1553563800,90,46.77,23.59,42.93,11.41
171,arlit,NE,44,1553565973,29,18.74,7.39,69.51,6.62
172,hodmezovasarhely,HU,0,1553565889,60,46.42,20.33,41.94,10.29
173,coquimbo,CL,90,1553562000,87,-29.95,-71.34,57.2,2.24
174,tasiilaq,GL,88,1553561400,86,65.61,-37.64,26.6,35.57
175,tilichiki,RU,88,1553565973,80,60.47,166.1,21.63,20.27
176,san patricio,PY,32,1553565974,56,-26.98,-56.83,66.63,5.95
178,vestmannaeyjar,IS,92,1553565974,94,63.44,-20.27,42.69,19.82
179,angoche,MZ,0,1553565974,100,-16.23,39.91,80.31,8.97
180,along,IN,92,1553565974,96,28.17,94.8,56.46,1.92
181,pathanamthitta,IN,0,1553565974,53,9.27,76.79,83.73,4.16
184,cheyenne,US,1,1553565951,38,41.14,-104.82,43.11,5.82
185,camacha,PT,40,1553563800,77,33.08,-16.33,62.6,19.46
186,mezen,RU,64,1553565912,85,65.85,44.24,24.51,2.48
187,foz do iguacu,BR,0,1553562000,83,-25.55,-54.59,72.21,3.36
188,mackay,CA,90,1553564520,65,53.65,-115.58,44.6,3.36
189,mae sai,MM,8,1553562584,78,20.44,99.89,79.3,2.24
190,middelburg,ZA,8,1553565975,88,-25.77,29.46,52.05,6.73
191,whitehorse,CA,75,1553562000,36,60.72,-135.06,48.2,5.82
192,fuente de oro,CO,64,1553565976,61,3.46,-73.62,75.99,2.82
193,nagornskiy,RU,88,1553565718,87,58.77,57.55,28.99,7
194,tabuk,PH,0,1553565976,45,17.41,121.44,82.02,2.59
195,sobolevo,RU,44,1553565976,87,54.43,31.9,28.02,8.75
196,port hardy,CA,75,1553562000,62,50.7,-127.42,53.6,2.24
197,mar del plata,AR,68,1553565890,100,-46.43,-67.52,47.55,6.06
198,port lincoln,AU,44,1553565785,86,-34.72,135.86,66,7.96
199,port keats,AU,20,1553565976,80,-14.25,129.55,89.85,15.12
200,shitanjing,CN,76,1553565977,13,39.23,106.34,52.68,3.27
201,ratnagiri,IN,0,1553565977,98,16.98,73.3,80.49,0.92
202,mao,DO,75,1553565961,100,19.55,-71.08,73.76,6.93
204,sitka,US,100,1553565653,65,37.17,-99.65,52,4.94
206,coffs harbour,AU,90,1553565805,69,-30.3,153.13,81.1,6.93
207,ponta do sol,BR,20,1553565775,77,-20.63,-46,68.88,2.48
209,potanino,RU,0,1553565903,87,55.18,61.62,30.87,11.18
211,smolenka,PL,12,1553565978,82,54.15,22.76,27.39,10.87
212,yurginskoye,RU,92,1553565978,96,56.82,67.39,35.31,12.21
213,faanui,PF,12,1553565978,100,-16.48,-151.75,83.01,12.1
215,carutapera,BR,88,1553565978,98,-1.2,-46.02,76.71,3.15
216,moron,VE,24,1553565978,93,10.49,-68.2,65.1,2.37
217,yellowknife,CA,90,1553565797,83,62.45,-114.38,31.82,10.29
218,leningradskiy,RU,92,1553565979,99,69.38,178.42,20.01,8.3
219,comodoro rivadavia,AR,75,1553562000,76,-45.87,-67.48,53.6,5.61
220,nouadhibou,MR,80,1553562000,82,20.93,-17.03,66.2,9.17
221,lieksa,FI,88,1553565979,81,63.32,30.02,29.19,7.74
222,lavrentiya,RU,80,1553565979,91,65.58,-170.99,33.87,24.85
223,beloha,MG,0,1553565980,90,-25.17,45.06,70.68,6.73
224,port elizabeth,US,90,1553565792,93,39.31,-74.98,41.97,6.93
225,bubaque,GW,0,1553565980,100,11.28,-15.83,75.27,15.23
226,clyde river,CA,75,1553562000,64,70.47,-68.59,-0.41,20.8
227,saint-augustin,FR,0,1553565969,65,44.83,-0.61,43.32,4.7
228,isangel,VU,32,1553565980,99,-19.55,169.27,81.66,20.04
229,saint george,GR,0,1553565199,86,39.45,22.34,45.64,4.7
230,port-cartier,CA,20,1553565679,49,50.03,-66.88,0.5,20.83
231,khambhat,IN,0,1553563800,56,22.32,72.62,71.6,6.93
232,sosnovo-ozerskoye,RU,0,1553565981,52,52.53,111.54,17.49,7.4
233,marfino,RU,0,1553565931,59,56.07,37.56,32.09,2.24
234,soyo,AO,88,1553565981,96,-6.13,12.37,76.71,2.26
235,gasa,BT,80,1553565981,84,27.91,89.73,17.58,1.92
236,thinadhoo,MV,44,1553565981,100,0.53,72.93,85.53,11.99
237,jaen,PE,8,1553565982,92,-5.71,-78.81,59.88,1.92
239,ilulissat,GL,88,1553561400,85,69.22,-51.1,24.8,8.05
240,chama,ZM,8,1553565982,93,-11.22,33.16,61.23,2.82
241,hambantota,LK,0,1553562600,100,6.12,81.12,73.4,4.7
243,margate,AU,75,1553565976,41,-43.03,147.26,57.36,16.11
245,karratha,AU,92,1553565948,97,-20.74,116.85,77.88,12.21
246,buchanan,LR,40,1553562000,94,5.88,-10.05,78.8,5.61
247,kenai,US,1,1553565901,56,60.55,-151.26,44.73,5.82
248,porbandar,IN,0,1553565848,50,21.64,69.61,79.23,15.57
249,mahebourg,MU,40,1553565547,94,-20.41,57.7,76.46,3.36
250,hofn,IS,0,1553565983,93,64.25,-15.21,42.24,26.53
251,hervey bay,AU,75,1553562000,58,-25.3,152.85,86,4.7
252,constitucion,MX,5,1553561040,8,23.99,-104.67,80.6,4.7
253,mabaruma,GY,44,1553565984,84,8.2,-59.78,77.43,8.52
254,sandakan,MY,75,1553562000,74,5.84,118.12,84.07,3.36
255,tena,EC,32,1553565965,91,-0.99,-77.82,57.18,2.26
256,portland,US,75,1553565959,81,45.52,-122.67,47.8,6.93
258,vadso,NO,0,1553563200,79,70.07,29.75,19.4,9.17
260,alamo,US,90,1553565844,93,37.85,-122.03,54.32,12.75
261,kokkola,FI,0,1553565819,92,63.84,23.13,18.9,2.24
262,nova serrana,BR,80,1553565985,62,-19.88,-44.98,74.37,4.16
263,tautira,PF,40,1553565743,62,-17.73,-149.15,87.37,3.36
264,keningau,MY,75,1553563800,74,5.33,116.16,87.28,4.7
265,husavik,CA,0,1553565923,75,50.56,-96.99,24.51,9.08
266,kpandu,GH,48,1553565985,78,7,0.29,78.96,7.74
267,mauganj,IN,48,1553565985,76,24.67,81.88,66.81,4.61
268,hay river,CA,90,1553563620,80,60.82,-115.79,39.2,10.29
269,rio gallegos,AR,90,1553562000,53,-51.62,-69.22,50,6.93
270,suda,RU,36,1553565986,75,59.15,37.56,17.76,2.82
272,springbok,ZA,0,1553565986,73,-29.67,17.88,53.4,5.39
273,mehamn,NO,76,1553565838,84,71.03,27.85,25.59,11.77
276,charlestown,US,20,1553565961,81,41.38,-71.64,38.66,4.7
277,simi,US,90,1553565974,93,38.64,-122.87,51.37,8.05
278,haimen,CN,12,1553565971,60,31.87,121.18,72.05,7.18
279,seoul,KR,1,1553564400,58,37.57,126.98,51.33,4.7
280,picton,NZ,88,1553565936,77,-41.29,174.01,70.29,26.4
281,palmer,US,40,1553565935,92,61.6,-149.11,45.45,3.36
282,suez,EG,0,1553565987,70,29.97,32.54,41.25,2.37
284,wajir,KE,0,1553565987,70,1.75,40.07,74.19,6.62
285,polson,US,1,1553565964,43,47.69,-114.16,43.93,3.36
286,alofi,NU,75,1553562000,69,-19.06,-169.92,82.4,16.11
289,movila,RO,0,1553565916,70,44.77,25.57,46.6,11.41
